Time,CO2,CO,O2,H2,N2
12/11/2018 19:00,0.083094097,0.292279947,0.004744342,0.022060167,0.597821447
12/11/2018 20:00,0.08588259,0.283734709,0.006704662,0.022287851,0.601390188
12/11/2018 21:00,0.091225035,0.279302453,0.004676669,0.021201637,0.603594207
12/11/2018 22:00,0.089242143,0.276621106,0.006160365,0.021364602,0.606611785
12/11/2018 23:00,0.090507142,0.277483335,0.004655734,0.022089803,0.605263986
13/11/18 00:00,0.087927557,0.280200694,0.005117444,0.022592391,0.604161914
13/11/18 01:00,0.096056679,0.268297368,0.004612673,0.020909156,0.610124124
13/11/18 02:00,0.095651078,0.26719103,0.004835821,0.020283944,0.612038127
13/11/18 03:00,0.095560606,0.274126198,0.004612774,0.019617342,0.606083081
13/11/18 04:00,0.092760259,0.271264448,0.004851222,0.021042681,0.61008139
13/11/18 05:00,0.089494519,0.277938249,0.004625025,0.021427374,0.606514833
13/11/18 06:00,0.092589367,0.277514305,0.004647401,0.020308974,0.604939953
13/11/18 07:00,0.093164538,0.268889381,0.005461706,0.019565972,0.612918403
13/11/18 08:00,0.089498058,0.276728056,0.004709087,0.020620422,0.608444377
13/11/18 09:00,0.09187981,0.269251518,0.006386452,0.021061195,0.611421025
13/11/18 10:00,0.091431302,0.285189437,0.004757395,0.01980834,0.598813526
13/11/18 11:00,0.10023012,0.269690347,0.006665328,0.018002962,0.605411242
13/11/18 12:00,0.108269173,0.270246009,0.005151722,0.017588663,0.598744433
13/11/18 13:00,0.096613516,0.275623945,0.006779071,0.018409844,0.602573624
13/11/18 14:00,0.096780431,0.286013953,0.004861489,0.018234637,0.59410949
13/11/18 15:00,0.101461302,0.276018333,0.007042075,0.016586799,0.598891491
13/11/18 16:00,0.10473222,0.275203439,0.004836085,0.015781922,0.599446334
13/11/18 17:00,0.102083295,0.284915645,0.007158656,0.014089534,0.59175287
13/11/18 18:00,0.101452952,0.287526447,0.004855074,0.016793462,0.589372065
13/11/18 19:00,0.102322551,0.272549588,0.007069516,0.017978884,0.600079461
13/11/18 20:00,0.104520731,0.277707078,0.004723382,0.014178301,0.598870508
13/11/18 21:00,0.103820583,0.26895549,0.006981717,0.015273279,0.604968932
13/11/18 22:00,0.104797299,0.26644959,0.004665649,0.017646824,0.606440638
13/11/18 23:00,0.101244147,0.270407005,0.006681952,0.015621825,0.606045071
14/11/18 00:00,0.099196464,0.269706753,0.004661466,0.017120347,0.60931497
14/11/18 01:00,0.104170594,0.258176494,0.006383742,0.018845883,0.612423287
14/11/18 02:00,0.103294352,0.270175279,0.004653969,0.018701648,0.603174752
14/11/18 03:00,0.099638863,0.270557006,0.005437731,0.016730987,0.607635414
14/11/18 04:00,0.104090206,0.268839091,0.00462862,0.016019484,0.606422598
14/11/18 05:00,0.102248517,0.266109783,0.005927177,0.018445772,0.60726875
14/11/18 06:00,0.099139245,0.273527082,0.004703185,0.020726311,0.601904176
14/11/18 07:00,0.105954769,0.264656091,0.006505109,0.0185305,0.604353532
14/11/18 08:00,0.101833201,0.271636607,0.004701926,0.020256548,0.601571718
14/11/18 09:00,0.099280713,0.273809784,0.006770398,0.018819795,0.60131931
14/11/18 10:00,0.103665871,0.268350664,0.004755932,0.017086526,0.606141006
14/11/18 11:00,0.100095684,0.275167574,0.007059645,0.015237521,0.602439576
14/11/18 12:00,0.095198165,0.287603416,0.004849694,0.017289681,0.595059044
14/11/18 13:00,0.095468676,0.277791809,0.007413214,0.018136872,0.601189429
14/11/18 14:00,0.093317629,0.288515475,0.004923048,0.018602178,0.594641669
14/11/18 15:00,0.092382811,0.286949089,0.007516948,0.018322081,0.594829071
14/11/18 16:00,0.09654981,0.276377916,0.00492789,0.019846979,0.602297404
14/11/18 17:00,0.091083828,0.280998545,0.007628422,0.022276934,0.59801227
14/11/18 18:00,0.09167695,0.285926573,0.004980275,0.026513119,0.590903082
14/11/18 19:00,0.093685792,0.277646783,0.008582506,0.029166637,0.590918282
14/11/18 20:00,0.094198925,0.282861229,0.004902542,0.026339346,0.591697957
14/11/18 21:00,0.094917117,0.280541008,0.007409802,0.023470831,0.593661242
14/11/18 22:00,0.097228151,0.274832428,0.004804469,0.024058475,0.599076477
14/11/18 23:00,0.09055383,0.282428018,0.008301974,0.024322848,0.59439333
15/11/18 01:00,0.094053593,0.272290072,0.007664774,0.024377232,0.601614328
15/11/18 02:00,0.094770008,0.274332486,0.004760727,0.025108761,0.601028017
15/11/18 03:00,0.096722586,0.272659624,0.007326069,0.021804955,0.601486767
15/11/18 04:00,0.092860846,0.276098574,0.004730082,0.022728662,0.603581837
15/11/18 05:00,0.085877966,0.276542689,0.007441265,0.023231128,0.606906952
15/11/18 06:00,0.080504261,0.285587811,0.004859411,0.025592287,0.60345623
15/11/18 07:00,0.078224143,0.285404226,0.007526059,0.027372883,0.601472689
