Time,FeO,CaO,SiO2,MgO,Al2O3,MnO,P2O5,S,NiO,Cr2O3,Na2O,K2O
21/11/18 18:00,0.03,0.33,0.34,0.06,0.20,0.01,0.00,0.01,0.00,0.00,0.00,0.00
21/11/18 19:00,0.03,0.33,0.34,0.06,0.20,0.01,0.00,0.01,0.00,0.00,0.00,0.00
21/11/18 20:00,0.03,0.33,0.34,0.06,0.20,0.01,0.00,0.01,0.00,0.00,0.00,0.00
21/11/18 21:00,0.03,0.33,0.34,0.06,0.20,0.01,0.00,0.01,0.00,0.00,0.00,0.00
21/11/18 22:00,0.03,0.33,0.34,0.06,0.20,0.01,0.00,0.01,0.00,0.00,0.00,0.00
21/11/18 23:00,0.03,0.33,0.34,0.06,0.20,0.01,0.00,0.01,0.00,0.00,0.00,0.00
22/11/18 00:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 01:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 02:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 03:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 04:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 05:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 06:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 07:00,0.05,0.31,0.36,0.07,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00
22/11/18 08:00,0.03,0.32,0.36,0.07,0.20,0.01,0.01,0.00,0.00,0.00,0.01,0.00
22/11/18 09:00,0.03,0.32,0.36,0.07,0.20,0.01,0.01,0.00,0.00,0.00,0.01,0.00
